text;label
أشارت صحيفة واشنطن بوست إلى أن إدارة الرئيس الأمريكي جو بايدن تعتزم التبرع للعالم بنصف مليار جرعة من لقاح فايزر ;REAL
يعتقد عدد كبير من الأمريكيين أن فيروس كورونا تسرب من مختبر في مدينة ووهان الصينية، حسب استطلاع جديد للرأي أجرته مؤسسة ;REAL
أعلنت وزارة الصحة الإيطالية تسجيل 77 وفاة جديدة مرتبطة بفيروس كورونا اليوم الأربعاء انخفاضا من 102 في اليوم السابق، في حين ارتفعت الحصيلة اليومية للإصابات الجديدة إلى 2199 من 1896 ;REAL
اعتبر رئيس الوزراء البريطاني بوريس جونسون أنه من السابق لأوانه البتّ في رفع الإغلاق العام في الـ21 من يونيو الجاري ;REAL
أعلن المتحدث باسم الحكومة الفرنسية غابرييل أتال عن تحسن الوضع الوبائي في بلاده، وإعادة فتح القاعات الداخلية في المطاعم والمقاهي وصالات الألعاب الرياضية وحمامات السباحة ;REAL
أعلنت الصحة البريطانية اليوم عن تسجيل 6 وفيات جديدة في غضون 28 يوما من ثبوت الإصابات، و7540 إصابة جديدة بفيروس كورونا ;REAL
كشفت آخر الإحصاءات الرسمية البريطانية أن واحدا من بين ثمانية شبان في أنحاء بريطانيا، متردد في تلقي لقاح كوفيد 19 ;REAL
أكد وزير الصحة التونسي، دخول البلاد رسميا في الموجة الرابعة لجائحة كورونا، مشيرا إلى أن 18 ولاية هي حاليا مصنفة كمناطق ذات خطر مرتفع ;REAL
أعلن نشطاء وجماعة معارضة إن سجينا سياسيا بحرينيا يقضي حكما بالسجن مدى الحياة توفي بعدما أصيب بمرض كوفيد 19 في الوقت الذي تشهد فيه المملكة زيادة كبيرة في حالات الإصابة ;REAL
تزعم أداة ذكاء اصطناعي جديدة أنها تحسب خطر وفاة المريض من كوفيد 19 والمتغيرات المرتبطة به، عن طريق المسح بحثا عن التهاب الأوعية الدموية المتزايد ;REAL
قال رئيس مركز غاماليا الروسي للبيولوجيا المجهرية، ألكسندر غينسبورغ، إن سبب ارتفاع عدد الإصابات بفيروس كورونا في روسيا قد يعود إلى تنقلات المواطنين الروس مع حلول موسم الصيف ;REAL
